prefLabel@es,term_id,broader_uri,broader_id,prefLabel@en,prefLabel@es,prefLabel@de,prefLabel@nl
competitividad,LT3825531,,,,,,
paternidad,LT8033667,,,,,,
extinción,LT1650094,,,,,,
ley,LT5981638,,,,,,
semanales en cómputo,LT6702477,,,,,,
edad,LT6970916,,,,,,
títulos de grado,LT1945987,,,,,,
empresa,LT2414531,,,,,,
celebración,LT5414695,,,,,,
aplicación,LT1952881,,,,,,
anual,LT2291123,,,,,,
documento,LT6656776,,,,,,
momento,LT4969079,,,,,,
razones,LT9579331,,,,,,
máximo de horas,LT5394194,,,,,,
embarazo,LT9991225,,,,,,
caso,LT1960198,,,,,,
promedio,LT8411955,,,,,,
producción,LT5940217,,,,,,
formación,LT6448128,,,,,,
revisión,LT1301704,,,,,,
fines,LT8017379,,,,,,
días,LT2502350,,,,,,
contratadas,LT7600057,,,,,,
certificado de profesionalidad,LT4193071,,,,,,
responsabilidad,LT4577885,,,,,,
ritmo,LT1193675,,,,,,
índice de precios,LT8414992,,,,,,
cómputo,LT9278504,,,,,,
derecho,LT6491949,,,,,,
Movilidad,LT6615416,,,,,,
realizadas,LT3407905,,,,,,
citado,LT2143723,,,,,,
párrafo,LT7297443,,,,,,
obtención,LT6789259,,,,,,
especificidad,LT7651819,,,,,,
consideración,LT6483603,,,,,,
Seguridad,LT8924033,,,,,,
posterioridad,LT4837245,,,,,,
periodo de prueba,LT2843266,,,,,,
Sección,LT8443665,,,,,,
letra,LT1069453,,,,,,
objeto,LT5061333,,,,,,
plazo,LT5986677,,,,,,
artículo,LT1954525,,,,,,
situación,LT9756805,,,,,,
escrito,LT3681720,,,,,,
ausencia,LT5200513,,,,,,
colectivo de ámbito,LT6912627,,,,,,
previsión,LT4319057,,,,,,
ordinaria de trabajo,LT3343596,,,,,,
fiesta,LT1445811,,,,,,
aprendizaje,LT9088022,,,,,,
semanal,LT5976281,,,,,,
proporción,LT3782919,,,,,,
tarde,LT9230500,,,,,,
supuesto,LT2252567,,,,,,
titulación,LT6006152,,,,,,
mínimo de descanso,LT6718937,,,,,,
exceder,LT2080609,,,,,,
formativos,LT5700009,,,,,,
asociación,LT7438836,,,,,,
negativa del trabajador,LT2164487,,,,,,
convenios colectivos sectoriales,LT6022910,,,,,,
iones,LT8940074,,,,,,
perjuicio,LT1532491,,,,,,
riesgo,LT2415117,,,,,,
gasto,LT2635749,,,,,,
itinerantes,LT3109436,,,,,,
ciento,LT4002749,,,,,,
