Abgerissenes Land
Abschlagszahlung
Abschluß eines Vertrages
Abschrankung eines Weges
Absicht, böse
Absonderung der Verlassenschaft
Absperrung eines Weges
Abstammung
- Anerkenntnis
- Feststellung
- Handlungsfähigkeit
- Wirkung
Abtretung einer Forderung
- Verbot
Abwässer
Abwesenheit
Abwesenheitskurator
Abzahlungsgeschäft
actio pro socio
Adoption
Afterpfand
Akkreszenz
Aleatorische Verträge
Allgemeine Geschäftsbedingungen
Alluvio
Almwirtschaft
Alter
- für Adoption
Alternative Ermächtigung
Alternativobligation
alterum tantum
Amortisation
Amt
Amtshaftung
Amtsvormundschaft
Analogie
Analphabeten
Anbot
Änderung der Leistung
Änderung des letzten Willens
Änderung des Namens s. Namensänderung
Änderung der Obligation
Aneignung
-der Verlassenschaft durch den Bund
Aneignungsklage
Anerkennung der Elternschaft
-- Vaterschaft
---, Rechtsunwirksamerklärung
---, Widerspruch
Anerkennung, Verjährungsunterbrechung
Anfechtung
- der Adoption
- des Rechtsgeschäfts
- des Vergleiches
Angeborene Rechte
Angehöriger
-, nächster
-, naher
Angeld
Berne Geschäftsführung
Anhörung des Kindes
Anlage, schädigende
Anmerkung des Maschineneigentums
Anmerkung der Rangordnung
Annahme an Kindes statt s Adoption
Annahme, Anweisung
- Bürgschaft
- Erbschaft
- Offerte
- Schweigen als
Annahmeverzug
Annuität
Anrechnung
Anscheinsvollmacht
Ansichlösen der Streitsache
Ansprüchige Sachen
Anspruchsverjährung
Anstandsgeschenk
Anteil am Eigentum
Antrag
Antretung der Erbschaft
Anwachsung des Erbteils
- des Vermächtnisses
Anweisung
Anzahlung
Anzeige, Fund
- Gastaufnahme
Arbeitsgesellschafter
Arbeitslohn
Arbeitsunfall
Ärztliche Behandlung
Ast eines fremden Baumes
Aufbewahrung, s. auch Verwahrung Aufenthalt
- der Ehegatten
- des Kindes
Aufforderung der Verlassenschaftsgläubiger
Aufgabe des Besitzes
Aufhängen, gefährliches
Aufhebung der Adoption
Aufhebung der Ehe
Aufhebung der Eigentumsgemeinschaft
Aufhebung der Kuratel
Aufhebung des gemeinsamen Haushalts
Aufhebung letztwilliger Verfügungen
Aufhebung der Rechte und Verbindlichkeiten
Aufhebung eines Vertrages
Aufklärungspflicht
Auflage
Auflösung des Bestandvertrages
— — Darlehensvertrages
— — Dienstvertrages
Auflösung der Ehe
re der Gemeinschaft des Eigentums
Auflösung der GesbR
Aufrechnung
Aufsandung
Aufschiebende Bedingung
Aufsichtspflicht
Aufteilung bei der GesbR
Auftrag s. Bevollmächtigung
