prefLabel@es,term_id
contratos en prácticas,LT9547411
conjunto,LT5184826
cuantía,LT6794975
consumo,LT1964302
maternidad,LT3876976
requisito,LT3785765
ampliaciones,LT7897260
cuyos,LT7180286
acogimiento,LT7805701
regla,LT7759089
horas de trabajo,LT8273335
pactada,LT2631818
establecidos,LT8946593
atención,LT5879042
empleo,LT1638672
lactancia,LT7007542
característica,LT4771146
Salario,LT9303537
ámbito,LT2187127
marco,LT8834335
aceptación,LT9832428
servicio,LT5014869
sector,LT6189078
programas,LT7769135
renuncia,LT6227251
sistema,LT6450813
posesión,LT3481858
duración,LT2216494
periodo,LT1635643
descanso,LT3637683
ordinarias,LT3077813
nocturno,LT2133798
contrato en prácticas,LT9750329
respecto,LT7387343
modalidad,LT6243478
incompatibilidad,LT4458080
contrato,LT5060530
oportunidad,LT4677020
adición,LT1684815
fecha,LT6637458
preaviso,LT4171078
incapacidad,LT3132273
recibo,LT4450619
Empleo,LT3771326
empleado,LT8401855
productividad,LT8366041
objeto del contrato,LT7177597
acuerdo,LT1676882
superior,LT7614134
pactadas,LT7454367
contratado en prácticas,LT3003675
pago,LT3426194
semanales,LT3240381
geográficaArtículo,LT4221240
admisión,LT1202575
colectivos de ámbito,LT2905535
mañana,LT3837932
trabajoArtículo,LT7262861
pacto de horas,LT4461744
jornada de trabajo,LT1840202
técnica,LT7491944
carácter,LT1242452
apartado,LT4901785
celebrados con trabajadores,LT7591246
mínimos de descanso,LT2025305
mes,LT8784262
título,LT5581692
relevo,LT3362744
práctica,LT4034473
Necesidad,LT6437187
texto,LT3323076
participación,LT6232363
límite,LT9063186
valor,LT1957461
mensualidad,LT8129335
puesto de trabajo,LT3658903
adopción,LT7234067
efecto,LT8586110
máster,LT4267774
trabajador,LT5704006
residencia,LT3512686
renta,LT8755051
desempleo,LT2224553
convenio,LT5699566
salario,LT7718398
decisión,LT2356501
indemnización,LT7958974
regímenes,LT6064887
Modalidades del contrato,LT8453073
horas complementarias pactadas,LT3053590
eficacia,LT2032631
incremento,LT2299470
existencia,LT8214347
ordinarias de trabajo,LT6793771
materia,LT9922488
empresario,LT1212542
organización,LT2874478
fijación,LT8870920
alternancia,LT8583076
estudio,LT8972464
