term_id,narrower_uri,narrower_id,naprefLabel@en,naprefLabel@es,naprefLabel@de,naprefLabel@nl
LT7297443,,,,,,
LT6789259,,,,,,
LT7651819,,,,,,
LT6483603,,,,,,
LT8924033,,,,,,
LT4837245,,,,,,
LT2843266,,,,,,
LT8443665,,,,,,
LT1069453,,,,,,
LT5061333,,,,,,
LT5986677,,,,,,
LT1954525,,,,,,
LT9756805,,,,,,
LT3681720,,,,,,
LT5200513,,,,,,
LT6912627,,,,,,
LT4319057,,,,,,
LT3343596,,,,,,
LT1445811,,,,,,
LT9088022,,,,,,
LT5976281,,,,,,
LT3782919,,,,,,
LT9230500,,,,,,
LT2252567,,,,,,
LT6006152,,,,,,
LT6718937,,,,,,
LT2080609,,,,,,
LT5700009,,,,,,
LT7438836,http://eurovoc.europa.eu/6547,LT7723543,European association,asociación europea,europäische Vereinigung,Europese vereniging
LT2164487,,,,,,
LT6022910,,,,,,
LT8940074,,,,,,
LT1532491,,,,,,
LT2415117,,,,,,
LT2635749,,,,,,
LT3109436,,,,,,
LT4002749,,,,,,
