term_id,related_uri,related_id,reprefLabel@en,reprefLabel@es,reprefLabel@de,reprefLabel@nl
LT6656776,http://eurovoc.europa.eu/4425,LT1892580,facsimile,telefax,Telekopie,fax
LT4969079,,,,,,
LT9579331,,,,,,
LT5394194,,,,,,
LT9991225,,,,,,
LT1960198,,,,,,
LT8411955,,,,,,
LT5940217,http://eurovoc.europa.eu/275,LT9832174,production cost,coste de producción,Produktionskosten,productiekosten
LT6448128,,,,,,
LT1301704,,,,,,
LT8017379,,,,,,
LT2502350,,,,,,
LT7600057,,,,,,
LT4193071,,,,,,
LT4577885,http://eurovoc.europa.eu/5416,LT4498264,civil liability proceedings,acción por responsabilidad,Haftungsklage,aansprakelijkheidsvordering
LT1193675,,,,,,
LT8414992,http://eurovoc.europa.eu/274,LT1361201,cost of living,coste de la vida,Lebenshaltungskosten,kosten van levensonderhoud
LT9278504,,,,,,
LT6491949,,,,,,
LT6615416,,,,,,
LT3407905,,,,,,
LT2143723,,,,,,
LT7297443,,,,,,
LT6789259,,,,,,
LT7651819,,,,,,
LT6483603,,,,,,
LT8924033,,,,,,
LT4837245,,,,,,
LT2843266,,,,,,
LT8443665,,,,,,
LT1069453,,,,,,
LT5061333,,,,,,
LT5986677,,,,,,
LT1954525,,,,,,
LT9756805,,,,,,
LT3681720,,,,,,
LT5200513,,,,,,
LT6912627,,,,,,
LT4319057,,,,,,
LT3343596,,,,,,
LT1445811,,,,,,
LT9088022,,,,,,
LT5976281,,,,,,
LT3782919,,,,,,
LT9230500,,,,,,
LT2252567,,,,,,
LT6006152,,,,,,
LT6718937,,,,,,
LT2080609,,,,,,
LT5700009,,,,,,
LT7438836,,,,,,
LT2164487,,,,,,
LT6022910,,,,,,
LT8940074,,,,,,
LT1532491,,,,,,
LT2415117,,,,,,
LT2635749,http://eurovoc.europa.eu/394,LT7447566,budgetary expenditure,gasto presupuestario,Haushaltsausgabe,begrotingsuitgave
LT3109436,,,,,,
LT4002749,,,,,,
