term_id,broader_uri,broader_id,brprefLabel@en,brprefLabel@es,brprefLabel@de,brprefLabel@nl
LT5940217,,,,,,
LT6448128,,,,,,
LT1301704,,,,,,
LT8017379,,,,,,
LT2502350,,,,,,
LT7600057,,,,,,
LT4193071,,,,,,
LT4577885,http://eurovoc.europa.eu/523,LT7961098,civil law,Derecho civil,Bürgerliches Recht,burgerlijk recht
LT1193675,,,,,,
LT8414992,http://eurovoc.europa.eu/2489,LT6247503,prices policy,política de precios,Preispolitik,prijsbeleid
LT9278504,,,,,,
LT6491949,,,,,,
LT6615416,,,,,,
LT3407905,,,,,,
LT2143723,,,,,,
LT7297443,,,,,,
LT6789259,,,,,,
LT7651819,,,,,,
LT6483603,,,,,,
LT8924033,,,,,,
LT4837245,,,,,,
LT2843266,,,,,,
LT8443665,,,,,,
LT1069453,,,,,,
LT5061333,,,,,,
LT5986677,,,,,,
LT1954525,,,,,,
LT9756805,,,,,,
LT3681720,,,,,,
LT5200513,,,,,,
LT6912627,,,,,,
LT4319057,,,,,,
LT3343596,,,,,,
LT1445811,,,,,,
LT9088022,,,,,,
LT5976281,,,,,,
LT3782919,,,,,,
LT9230500,,,,,,
LT2252567,,,,,,
LT6006152,,,,,,
LT6718937,,,,,,
LT2080609,,,,,,
LT5700009,,,,,,
LT7438836,http://eurovoc.europa.eu/4702,LT3542868,collective activities,vida asociativa,Vereinsleben,verenigingsleven
LT2164487,,,,,,
LT6022910,,,,,,
LT8940074,,,,,,
LT1532491,,,,,,
LT2415117,,,,,,
LT2635749,http://eurovoc.europa.eu/3602,LT4163968,operating result,resultado de explotación,Betriebsergebnis,bedrijfsresultaat
LT3109436,,,,,,
LT4002749,,,,,,
